sentence,label
the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects .,Negative
"if welles was unhappy at the prospect of the human race splitting in two , he probably would n't be too crazy with his great-grandson 's movie splitting up in pretty much the same way .",Negative
it 's quite diverting nonsense .,Positive
it 's absolutely spooky how lillard channels the shagster right down to the original casey kasem-furnished voice .,Positive
an awkward hybrid of genres that just does n't work .,Negative
"its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie 's presentation , which is way too stagy .",Negative
the young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .,Negative
it 's exactly the kind of movie toback 's detractors always accuse him of making .,Negative
"if you are into splatter movies , then you will probably have a reasonably good time with the salton sea .",Negative
showtime is closer to slowtime .,Negative
this dubious product of a college-spawned ( colgate u . ) comedy ensemble known as broken lizard plays like a mix of cheech and chong and chips .,Negative
"nair just does n't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy .",Negative
"should have gone straight to video . it looks like an action movie , but it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such .",Negative
"the movie is n't always easy to look at . but if it is indeed a duty of art to reflect life , than leigh has created a masterful piece of artistry right here .",Positive
troll the cult section of your local video store for the real deal .,Negative
a good documentary can make interesting a subject you thought would leave you cold . a case in point : doug pray 's scratch .,Positive
the central character is n't complex enough to hold our interest .,Negative
"writer-director walter hill and co-writer david giler try to create characters out of the obvious cliches , but wind up using them as punching bags .",Negative
"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost .",Negative
a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,Negative
"a graceless , witless attempt at mating some like it hot with the wwii espionage thriller .",Negative
this low-rent -- and even lower-wit -- rip-off of the farrelly brothers ' oeuvre gets way too mushy -- and in a relatively short amount of time .,Negative
"the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .",Positive
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .",Positive
it 's hard to understand why anyone in his right mind would even think to make the attraction a movie . and it 's harder still to believe that anyone in his right mind would want to see the it .,Negative
robert harmon 's less-is-more approach delivers real bump-in -the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows .,Positive
greg kinnear gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior .,Positive
"for those in search of something different , wendigo is a genuinely bone-chilling tale .",Positive
"self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable .",Negative
"bM-iart and berling are both superb , while huppert . . . is magnificent .",Positive
the casting of raymond j . barry as the 'assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .,Positive
"thriller directorial debut for traffic scribe gaghan has all the right parts , but the pieces do n't quite fit together .",Negative
the movie 's vision of a white american zealously spreading a puritanical brand of christianity to south seas islanders is one only a true believer could relish .,Negative
"it tends to remind one of a really solid woody allen film , with its excellent use of new york locales and sharp writing",Positive
"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",Positive
"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial .",Negative
"it may be a prize winner , but teacher is a bomb .",Negative
"when the plot kicks in , the film loses credibility .",Negative
the marquis de sade could n't have been as dull a person as this film makes him out to be .,Negative
all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,Negative
"the people in abc africa are treated as docile , mostly wordless ethnographic extras .",Negative
the end result is like cold porridge with only the odd enjoyably chewy lump .,Negative
"a pale xerox of other , better crime movies .",Negative
"for those who like quirky , slightly strange french films , this is a must !",Positive
"'anyone with a passion for cinema , and indeed sex , should see it as soon as possible . '",Positive
"the french are rather good at this kind of thing , unlike the americans , who have a passion for musketeers , only to spoof them .",Positive
"the journey to the secret 's eventual discovery is a separate adventure , and thrill enough .",Positive
"some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat .",Positive
a cop story that understands the medium amazingly well .,Positive
"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue .",Positive
"a lack of thesis makes maryam , in the end , play out with the intellectual and emotional impact of an after-school special .",Negative
"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions .",Negative
"the movie is well crafted , and well executed . if you 're paying attention , the `` big twists `` are pretty easy to guess - but that does n't make the movie any less entertaining .",Positive
japanese director shohei imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,Positive
"though overall an overwhelmingly positive portrayal , the film does n't ignore the more problematic aspects of brown 's life .",Positive
never [ sinks ] into exploitation .,Positive
filmmaker tian zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,Positive
"a dull , somnambulant exercise in pretension whose pervasive quiet is broken by frequent outbursts of violence and noise .",Negative
"a miniscule little bleep on the film radar , but one that many more people should check out",Positive
it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them .,Positive
"it is messy , uncouth , incomprehensible , vicious and absurd .",Negative
stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,Positive
a high-spirited buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime .,Positive
earnest yet curiously tepid and choppy recycling in which predictability is the only winner .,Negative
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .",Negative
"i 'm sure mainstream audiences will be baffled , but , for those with at least a minimal appreciation of woolf and clarissa dalloway , the hours represents two of those well spent .",Positive
"despite slick production values and director roger michell 's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours .",Negative
mr . spielberg and his company just want you to enjoy yourselves without feeling conned . and they succeed merrily at their noble endeavor .,Positive
this is the type of movie best enjoyed by frat boys and college kids while sucking on the bong and downing one alcoholic beverage after another .,Negative
"by the end , you just do n't care whether that cold-hearted snake petrovich ( that would be reno ) gets his comeuppance . just bring on the battle bots , please !",Negative
abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .,Negative
you live the mood rather than savour the story .,Positive
"there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple does n't mean you have to check your brain at the door . the same should go for movie theaters .",Negative
"no matter how much he runs around and acts like a doofus , accepting a 50-year-old in the role is creepy in a michael jackson sort of way .",Negative
"payami tries to raise some serious issues about iran 's electoral process , but the result is a film that 's about as subtle as a party political broadcast .",Negative
"oops , she 's really done it this time . that chirpy songbird britney spears has popped up with more mindless drivel .",Negative
"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",Positive
an intelligently made ( and beautifully edited ) picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch .,Positive
"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time .",Negative
boring and meandering .,Negative
"its strengths and weaknesses play off each other virtually to a stand-off , with the unfortunate trump card being the dreary mid-section of the film .",Negative
the movie makes absolutely no sense . its underlying mythology is a hodgepodge of inconsistencies that pose the question : since when did dumb entertainment have to be this dumb ?,Negative
it is just too bad the film 's story does not live up to its style .,Negative
everything about it from the bland songs to the colorful but flat drawings is completely serviceable and quickly forgettable .,Negative
"a preposterous , prurient whodunit .",Negative
a forceful drama of an alienated executive who re-invents himself .,Positive
"though jones and snipes are enthralling , the movie bogs down in rhetoric and clichM-i .",Negative
the scorpion king is more fun than conan the barbarian .,Positive
"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist .",Positive
"like its predecessor , it 's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate .",Positive
like leafing through an album of photos accompanied by the sketchiest of captions .,Negative
"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . it merely indulges in the worst elements of all of them .",Negative
a crass and insulting homage to great films like some like it hot and the john wayne classics .,Negative
"one well-timed explosion in a movie can be a knockout , but a hundred of them can be numbing . proof of this is ballistic : ecks vs . sever .",Negative
tries so hard to be quirky and funny that the strain is all too evident .,Negative
"bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly .",Negative
"human nature initially succeeds by allowing itself to go crazy , but ultimately fails by spinning out of control .",Negative
"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",Positive
"i admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for vincent 's complaint .",Positive
it says a lot about a filmmaker when he can be wacky without clobbering the audience over the head and still maintain a sense of urgency and suspense .,Positive
the film is a verbal duel between two gifted performers .,Positive
"though catch me if you can is n't badly made , the fun slowly leaks out of the movie .",Negative
"maryam is a small film , but it offers large rewards .",Positive
"one of the year 's best films , featuring an oscar-worthy performance by julianne moore .",Positive
everything was as superficial as the forced new jersey lowbrow accent uma had .,Negative
"if it were any more of a turkey , it would gobble in dolby digital stereo . if nothing else , `` rollerball `` 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j .",Negative
stay away . far away .,Negative
. . . stumbles over every cheap trick in the book trying to make the outrage come even easier .,Negative
"may take its sweet time to get wherever it 's going , but if you have the patience for it , you wo n't feel like it 's wasted yours .",Positive
has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .,Positive
"it all starts to smack of a hallmark hall of fame , with a few four letter words thrown in that are generally not heard on television .",Negative
the next big thing 's not-so-big ( and not-so-hot ) directorial debut .,Negative
"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad .",Positive
"it all plays out . . . like a high-end john hughes comedy , a kind of elder bueller 's time out .",Positive
the movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,Negative
"it 's a big idea , but the film itself is small and shriveled .",Negative
"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . ``",Positive
"oddly , the film is n't nearly as downbeat as it sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny .",Positive
blithely anachronistic and slyly achronological .,Positive
"the actors are so terrific at conveying their young angst , we do indeed feel for them .",Positive
there is something that is so meditative and lyrical about babak payami 's boldly quirky iranian drama secret ballot . . . a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics,Positive
some movies are like a tasty hors-d'oeuvre ; this one is a feast .,Positive
a terrible movie that some people will nevertheless find moving .,Negative
"imperfect ? yes , but also intriguing and honorable , a worthwhile addition to a distinguished film legacy .",Positive
a beguiling evocation of the quality that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,Positive
a stylish thriller .,Positive
"is n't quite the equal of woo 's best earlier work , but it 's easily his finest american film . . . comes close to recapturing the brilliance of his hong kong films .",Positive
"the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .",Positive
it 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity .,Positive
damon brings the proper conviction to his role as [ jason bourne ] .,Positive
"the result puts a human face on derrida , and makes one of the great minds of our times interesting and accessible to people who normally could n't care less .",Positive
plays like a checklist of everything rob reiner and his cast were sending up .,Negative
a sugar-coated rocky whose valuable messages are forgotten 10 minutes after the last trombone honks .,Negative
"it 's a nicely detailed world of pawns , bishops and kings , of wagers in dingy backrooms or pristine forests .",Positive
"elegant , mannered and teasing .",Positive
a marvellous journey from childhood idealism to adolescent self-absorption .,Positive
"made-up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america 's skin-deep notions of pulchritude .",Positive
equilibrium is what george orwell might have imagined had today 's mood-altering drug therapy been envisioned by chemists in 1949 .,Positive
such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema .,Negative
"it may not be as cutting , as witty or as true as back in the glory days of weekend and two or three things i know about her , but who else engaged in filmmaking today is so cognizant of the cultural and moral issues involved in the process ?",Positive
"'in this poor remake of such a well loved classic , parker exposes the limitations of his skill and the basic flaws in his vision . '",Negative
there 's not enough here to justify the almost two hours .,Negative
"makes the case for a strong education and good teachers being more valuable in the way they help increase an average student 's self-esteem , and not strictly in the knowledge imparted .",Positive
this is rote drivel aimed at mom and dad 's wallet .,Negative
this is not a jackie chan movie . it 's just a movie that happens to have jackie chan in it . and that makes all the difference .,Negative
the film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative .,Negative
the movie slides downhill as soon as macho action conventions assert themselves .,Negative
viveka seldahl and sven wollter will touch you to the core in a film you will never forget -- that you should never forget .,Positive
"a determined , ennui-hobbled slog that really does n't have much to say beyond the news flash that loneliness can make people act weird .",Negative
"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",Positive
while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films . . . it 's also so jarring that it 's hard to get back into the boys ' story .,Positive
"woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` saving private ryan `` battle scenes before realizing steven spielberg got it right the first time ?",Negative
director rob marshall went out gunning to make a great one .,Positive
"flawed , but worth seeing for ambrose 's performance .",Positive
"uncertain in tone . . . a garbled exercise in sexual politics , a junior varsity short cuts by way of very bad things .",Negative
any attempts at nuance given by the capable cast is drowned out by director jon purdy 's sledgehammer sap .,Negative
"eddie murphy and owen wilson have a cute partnership in i spy , but the movie around them is so often nearly nothing that their charm does n't do a load of good .",Negative
it 's hard to imagine that even very small children will be impressed by this tired retread .,Negative
"jacquot 's rendering of puccini 's tale of devotion and double-cross is more than just a filmed opera . in his first stab at the form , jacquot takes a slightly anarchic approach that works only sporadically .",Negative
"left me with the visceral sensation of longing , lasting traces of charlotte 's web of desire and desperation .",Positive
there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,Negative
. . . its stupidities wind up sticking in one 's mind a lot more than the cool bits .,Negative
"a deceivingly simple film , one that grows in power in retrospect .",Positive
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .",Negative
a slow-moving police-procedural thriller that takes its title all too literally .,Negative
"'the film is stark , straightforward and deadly . . . an unnatural calm that 's occasionally shaken by . . . blasts of rage , and later , violent jealousy . '",Positive
first-time director joM-co pedro rodrigues ' unwillingness to define his hero 's background or motivations becomes more and more frustrating as the film goes on .,Negative
"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .",Positive
does anyone much think the central story of brendan behan is that he was a bisexual sweetheart before he took to drink ?,Negative
so boring that even its target audience talked all the way through it .,Negative
"a lot of the credit for the film 's winning tone must go to grant , who has n't lost a bit of the dry humor that first made audiences on both sides of the atlantic love him .",Positive
"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them .",Negative
"as improbable as this premise may seem , abbass 's understated , shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life .",Positive
avary 's film never quite emerges from the shadow of ellis ' book .,Negative
"same song , second verse , coulda been better , but it coulda been worse .",Positive
"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",Positive
chai 's structure and pacing are disconcertingly slack .,Negative
"you wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",Positive
everyone 's to blame here .,Negative
one of the very best movies ever made about the life of moviemaking .,Positive
"while the transgressive trappings ( especially the frank sex scenes ) ensure that the film is never dull , rodrigues 's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative .",Negative
woody allen used to ridicule movies like hollywood ending . now he makes them .,Negative
"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",Positive
"it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",Positive
"if mostly martha is mostly unsurprising , it 's still a sweet , even delectable diversion .",Positive
"predictable and cloying , though brown sugar is so earnest in its yearning for the days before rap went nihilistic that it summons more spirit and bite than your average formulaic romantic quadrangle .",Negative
"poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action .",Negative
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",Negative
"it 's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's .",Negative
"'it 's painful to watch witherspoon 's talents wasting away inside unnecessary films like legally blonde and sweet home abomination , i mean , alabama . '",Negative
"suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by hollywood .",Negative
a sports movie with action that 's exciting on the field and a story you care about off it .,Positive
succeeds in providing a disquiet world the long-dreaded completion of the police academy series .,Negative
"fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip-off of the matrix .",Negative
horrible,Negative
"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy .",Negative
it 's not original enough .,Negative
you wo n't have any trouble getting kids to eat up these veggies .,Positive
the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him . . . there is never really a true `` us `` versus `` them `` .,Positive
"smart , funny and just honest enough to provide the pleasures of a slightly naughty , just-above-average off- broadway play .",Positive
"like its bizarre heroine , it irrigates our souls .",Positive
"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success .",Negative
"boisterous , heartfelt comedy .",Positive
the element of surprise might be the only thing femme fatale has going for it .,Negative
rubbo runs through a remarkable amount of material in the film 's short 90 minutes .,Positive
the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life .,Negative
"a searing , epic treatment of a nationwide blight that seems to be , horrifyingly , ever on the rise .",Positive
"if you 're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix , i have just one word for you -M-^V decasia",Positive
"as shaky as the plot is , kaufman 's script is still memorable for some great one-liners .",Positive
it 's hard to believe that something so short could be so flabby .,Negative
"it 's not particularly well made , but since i found myself howling more than cringing , i 'd say the film works .",Positive
chokes on its own depiction of upper-crust decorum .,Negative
"though writer/director bart freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup 's anchoring performance .",Positive
very predictable but still entertaining,Positive
most thrillers send audiences out talking about specific scary scenes or startling moments ; `` frailty `` leaves us with the terrifying message that the real horror may be waiting for us at home .,Positive
"it 's leaden and predictable , and laughs are lacking .",Negative
"performances all around are tops , with the two leads delivering oscar-caliber performances .",Positive
the dangerous lives of altar boys ' take on adolescence feels painfully true .,Positive
"too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .",Negative
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro 's right-hand goombah .",Negative
"no matter how firmly director john stainton has his tongue in his cheek , the fact remains that a wacky concept does not a movie make .",Negative
"more mature than fatal attraction , more complete than indecent proposal and more relevant than 9 M-= weeks , unfaithful is at once intimate and universal cinema .",Positive
"a sensitive , cultivated treatment of greene 's work as well as a remarkably faithful one .",Positive
"[ morgan ] , judd and franklin ca n't save the script , rooted in a novel by joseph finder , from some opportunism .",Negative
"it 's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic . unfortunately , that 's precisely what arthur dong 's family fundamentals does .",Negative
"essentially `` fatal attraction `` remade for viewers who were in diapers when the original was released in 1987 . . . . this story gets sillier , not scarier , as it goes along . . .",Negative
an exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .,Negative
a well-acted movie that simply does n't gel .,Negative
this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . a rewarding work of art for only the most patient and challenge-hungry moviegoers .,Positive
"fast , frantic and fun , but also soon forgotten",Positive
the film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency . it 's just filler .,Negative
"es una de esas pelM-mculas de las que uno sale reconfortado , agradecido , genuinamente sorprendido .",Positive
"escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions .",Positive
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",Positive
so lazy and slipshod it confuses the mere flashing of kinky soft-core imagery with naughty fun .,Negative
the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .,Positive
a loving little film of considerable appeal .,Positive
that such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .,Negative
a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,Positive
the film never finds its tone and several scenes run too long .,Negative
"it is ok for a movie to be something of a sitcom apparatus , if the lines work , the humor has point and the actors are humanly engaged .",Positive
"cuba gooding jr . valiantly mugs his way through snow dogs , but even his boisterous energy fails to spark this leaden comedy .",Negative
"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story .",Negative
works on the whodunit level as its larger themes get lost in the murk of its own making,Negative
"this is so de palma . if you love him , you 'll like it . if you do n't . . . well , skip to another review .",Positive
"a movie i loved on first sight and , even more important , love in remembrance .",Positive
the film sparkles with the the wisdom and humor of its subjects .,Positive
culkin turns his character into what is basically an anti-harry potter -- right down to the gryffindor scarf .,Negative
"there is an almost poignant dimension to the way that every major stunt seagal 's character . . . performs is shot from behind , as if it could fool us into thinking that we 're not watching a double .",Negative
the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . .,Positive
"dong never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting , and the film settles too easily along the contours of expectation .",Negative
"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",Positive
"strange it is , but delightfully so .",Positive
"all that ( powerpuff girls ) charm is present in the movie , but it 's spread too thin .",Negative
. . . there is enough originality in 'life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,Positive
one-of-a-kind near-masterpiece .,Positive
this 90-minute postmodern voyage was more diverting and thought-provoking than i 'd expected it to be .,Positive
"human resources was a good , straightforward tale , but time out is better . it 's haunting . it 's like a poem .",Positive
"witty and often surprising , a dark little morality tale disguised as a romantic comedy .",Positive
good-naturedly cornball sequel .,Positive
a winning and wildly fascinating work .,Positive
the densest distillation of roberts ' movies ever made .,Negative
"it 's the kind of movie you ca n't quite recommend because it is all windup and not much of a pitch , yet you ca n't bring yourself to dislike it .",Negative
"extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",Positive
a film of delicate interpersonal dances . caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose . it 's a sight to behold .,Positive
"the character is too forced and overwritten to be funny or believable much of the time , and clayburgh does n't always improve the over-the-top mix .",Negative
it 's probably worth catching solely on its visual merits . if only it had the story to match .,Positive
"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum .",Positive
enriched by a strong and unforced supporting cast .,Positive
"though avary has done his best to make something out of ellis ' nothing novel , in the end , his rules is barely worth following .",Negative
salma goes native and she 's never been better in this colorful bio-pic of a mexican icon .,Positive
"full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny",Negative
"as self-aware movies go , who is cletis tout ? is clever enough , though thin writing proves its undoing .",Negative
walsh ca n't quite negotiate the many inconsistencies in janice 's behavior or compensate for them by sheer force of charm .,Negative
"the characters are based on stock clichM-is , and the attempt to complicate the story only defies credibility .",Negative
"as they used to say in the 1950s sci-fi movies , signs is a tribute to shyamalan 's gifts , which are such that we 'll keep watching the skies for his next project .",Positive
"while not all that bad of a movie , it 's nowhere near as good as the original .",Positive
a film of quiet power .,Positive
the journey toward redemption feels more like a cinematic experiment than a full-blown movie .,Negative
"peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical .",Positive
"this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics .",Positive
this may be burns 's strongest film since the brothers mcmullen .,Positive
"there is no insight into the anguish of heidi 's life -- only a depiction of pain , today 's version of greek tragedy , the talk-show guest decrying her fate .",Negative
"time is a beautiful film to watch , an interesting and at times captivating take on loss and loneliness .",Positive
never once predictable .,Positive
an affectionately goofy satire that 's unafraid to throw elbows when necessary . . .,Positive
"as earnest as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school .",Negative
it 's been made with an innocent yet fervid conviction that our hollywood has all but lost .,Positive
villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) .,Negative
the film 's tone and pacing are off almost from the get-go .,Negative
"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces . . . that raise the bar on stylized screen violence .",Negative
sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .,Negative
"has far more energy , wit and warmth than should be expected from any movie with a `` 2 `` at the end of its title .",Positive
"lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel . leave these flowers unpicked -- they 're dead on the vine .",Negative
an unsophisticated sci-fi drama that takes itself all too seriously .,Negative
